hat,0.612454638,0.174321751,0.032412416,0.002520389,1.04E-05,
hart,0.954856,0.271778773,0.050533032,0.003929449,1.62E-05,heart
helicopter,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
hoarse,0.995040905,0.283216523,0.052659703,0.004094819,1.69E-05,horse
hose,0.658034378,0.187295023,0.034824594,0.00270796,1.11E-05,
house,0.703729158,0.200301038,0.03724286,0.002896005,1.19E-05,
iron,0.906704987,0.258073646,0.047984777,0.003731296,1.54E-05,
cay,0.605160121,0.172245527,0.032026374,0.002490371,1.02E-05,key
king,0.665055841,0.189293528,0.035196185,0.002736855,1.13E-05,
kitchen,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
kite,0.563615743,0.160420833,0.029827757,0.002319406,9.54E-06,
knife,0.634277459,0.180533138,0.033567326,0.002610195,1.07E-05,
lamp,0.895923646,0.255004974,0.047414205,0.003686929,1.52E-05,
leaf,0.673535726,0.191707141,0.035644958,0.002771752,1.14E-05,
letter,0.927070025,0.263870106,0.049062538,0.003815103,1.57E-05,
lion,1.93681436,0.551271638,0.102500379,0.007970429,3.28E-05,
man,0.663441813,0.18883413,0.035110767,0.002730213,1.12E-05,
map,0.61594367,0.175314828,0.032597063,0.002534748,1.04E-05,
monkey,0.701909329,0.199783063,0.03714655,0.002888516,1.19E-05,
mountain,1.826778805,0.519952436,0.096677061,0.007517608,3.09E-05,
nail,0.605559921,0.172359322,0.032047533,0.002492016,1.03E-05,
necklace,3.154918359,0.897978168,0.166965061,0.012983203,5.34E-05,
nose,0.821005095,0.233681055,0.043449354,0.003378622,1.39E-05,
nurse,0.760993552,0.216600089,0.040273414,0.003131661,1.29E-05,
octopus,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
owl,0.689457117,0.196238815,0.036487553,0.002837272,1.17E-05,
pair,0.676581687,0.192574106,0.035806157,0.002784287,1.15E-05,pear
pen,0.620722578,0.176675039,0.032849973,0.002554414,1.05E-05,
pencil,1.012344053,0.288141484,0.053575423,0.004166025,1.71E-05,
piano,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
pi,0.608590818,0.173222,0.032207934,0.002504489,1.03E-05,pie
pig,0.647038053,0.18416516,0.034242644,0.002662708,1.10E-05,
pillow,0.811256848,0.230906431,0.042933456,0.003338506,1.37E-05,
pineapple,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
pipe,0.597872447,0.170171251,0.031640695,0.00246038,1.01E-05,
pirate,1.921598438,0.54694076,0.10169512,0.007907813,3.25E-05,
plant,1.748122046,0.497564518,0.092514376,0.007193918,2.96E-05,
pumpkin,5.9049,1.6807,0.3125,0.0243,1.00E-04,
pyramid,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
quean,0.718120264,0.204397149,0.038004468,0.002955227,1.22E-05,queen
rake,0.607640424,0.172951491,0.032157637,0.002500578,1.03E-05,
ring,0.656959728,0.186989147,0.034767721,0.002703538,1.11E-05,
rope,0.607749053,0.17298241,0.032163386,0.002501025,1.03E-05,
ruler,0.927871749,0.264098299,0.049104967,0.003818402,1.57E-05,
saddle,1.438292544,0.40937836,0.076117533,0.005918899,2.44E-05,
sailor,1.037869942,0.295406867,0.054926308,0.00427107,1.76E-05,
sandwich,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
saw,0.659025223,0.187577045,0.034877031,0.002712038,1.12E-05,
scale,0.836105623,0.237979089,0.044248507,0.003440764,1.42E-05,
scarf,0.996368712,0.283594454,0.052729974,0.004100283,1.69E-05,
scissors,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
seal,0.603429802,0.17175303,0.031934802,0.00248325,1.02E-05,
shoe,0.662890153,0.188677112,0.035081572,0.002727943,1.12E-05,
